bid,[btc0.04161308/usd:0],450.00000,2014-01-17 00:00:00,loss,#suddenmode,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
,[btc:0.01/usd:8.7],,,,#transaction,
